NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
ACADEMY OF HAIR DESIGN-LAS VEGAS,"5191 W. CHARLESTON, #150",LAS VEGAS,NV,89146,262,CLARK,32003,USA,36.15850465,-115.2105043
ALTIERUS CAREER COLLEGE-HENDERSON,170 NORTH STEPHAINE SUITE 145,HENDERSON,NV,89074,298,CLARK,32003,USA,36.037585,-115.046158
SUNY BROOME COMMUNITY COLLEGE,907 UPPER FRONT ST,BINGHAMTON,NY,13905,6443,BROOME,36007,USA,42.13531981,-75.90921233
CONTINENTAL SCHOOL OF BEAUTY CULTURE-BATAVIA,215 E. MAIN ST,BATAVIA,NY,14020,29,GENESEE,36037,USA,42.99735059,-78.18009874
CORNING COMMUNITY COLLEGE,1 ACADEMIC DR,CORNING,NY,14830,4218,STEUBEN,36101,USA,42.11724039,-77.07370787
MESIVTHA TIFERETH JERUSALEM OF AMERICA,145 E BROADWAY,NEW YORK,NY,10002,81,NEW YORK,36061,USA,40.71381234,-73.99127087
COLLEGE OF MOUNT SAINT VINCENT,6301 RIVERDALE AVE,BRONX,NY,10471,2344,BRONX,36005,USA,40.91281445,-73.9063491
NEW YORK CHIROPRACTIC COLLEGE,2360 STATE ROUTE 89,SENECA FALLS,NY,13148,1241,SENECA,36099,USA,42.91172987,-76.75623156
RIDLEY-LOWELL BUSINESS & TECHNICAL INSTITUTE-BINGHAMTON,2 COURT STREET,BINGHAMTON,NY,13901,-999,BROOME,36007,USA,42.09929546,-75.91710681
ST LAWRENCE UNIVERSITY,23 ROMODA DRIVE,CANTON,NY,13617,3326,ST. LAWRENCE,36089,USA,44.58987873,-75.16134295
ST. JOSEPH'S COLLEGE-LONG ISLAND,155 W ROE BLVD,PATCHOGUE,NY,11772,4711,SUFFOLK,36103,USA,40.77562677,-73.02469658
SUNY BUFFALO STATE,1300 ELMWOOD AVE,BUFFALO,NY,14222,11307,ERIE,36029,USA,42.93369956,-78.88068439
ETI TECHNICAL COLLEGE,2076 YOUNGSTOWN WARREN RD,NILES,OH,44446,229,TRUMBULL,39155,USA,41.186919,-80.723177
PHAGANS BEAUTY COLLEGE,1565 SW 53RD STREET,CORVALLIS,OR,97333,69,BENTON,41003,USA,44.54995206,-123.3105059
ROSEBURG BEAUTY COLLEGE,700 SE STEPHENS ST,ROSEBURG,OR,97470,24,DOUGLAS,41019,USA,43.20858725,-123.3469529
JOLIE HAIR AND BEAUTY ACADEMY-HAZLETON,1057A NORTH CHURCH STREET,HAZLETON,PA,18201,69,LUZERNE,42079,USA,40.97510179,-75.97729969
AUTOMOTIVE TRAINING CENTER-EXTON,114 PICKERING WAY,EXTON,PA,19341,343,CHESTER,42029,USA,40.05820591,-75.64307915
BIBLICAL THEOLOGICAL SEMINARY,200 N MAIN ST,HATFIELD,PA,19440,285,MONTGOMERY,42091,USA,40.28141447,-75.30389669
CURTIS INSTITUTE OF MUSIC,1726 LOCUST ST,PHILADELPHIA,PA,19103,347,PHILADELPHIA,42101,USA,39.94857108,-75.17094965
HARCUM COLLEGE,750 MONTGOMERY AVE,BRYN MAWR,PA,19010,1960,MONTGOMERY,42091,USA,40.02258268,-75.31479544
LANSDALE SCHOOL OF COSMETOLOGY INC,215 W MAIN ST,LANSDALE,PA,19446,61,MONTGOMERY,42091,USA,40.24333795,-75.28616577
LINCOLN TECHNICAL INSTITUTE-PHILADELPHIA,9191 TORRESDALE AVE,PHILADELPHIA,PA,19136,271,PHILADELPHIA,42101,USA,40.04954774,-74.99968598
LUTHERAN THEOLOGICAL SEMINARY AT PHILADELPHIA,7301 GERMANTOWN AVE,PHILADELPHIA,PA,19119,-999,PHILADELPHIA,42101,USA,40.06163605,-75.19149633
ROXBOROUGH MEMORIAL HOSPITAL SCHOOL OF NURSING,5800 RIDGE AVE,PHILADELPHIA,PA,19128,175,PHILADELPHIA,42101,USA,40.02891186,-75.20998464
MORAVIAN COLLEGE,1200 MAIN ST,BETHLEHEM,PA,18018,3098,NORTHAMPTON,42095,USA,40.63088812,-75.38097916
PENNSYLVANIA INSTITUTE OF TECHNOLOGY,800 MANCHESTER AVE,MEDIA,PA,19063,557,DELAWARE,42045,USA,39.90833508,-75.38893024
PEIRCE COLLEGE,1420 PINE STREET,PHILADELPHIA,PA,19102,1734,PHILADELPHIA,42101,USA,39.94548294,-75.16633206
PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,4170 CITY AVE,PHILADELPHIA,PA,19131,3254,PHILADELPHIA,42101,USA,40.00529877,-75.216292
RECONSTRUCTIONIST RABBINICAL COLLEGE,1299 CHURCH RD,WYNCOTE,PA,19095,90,MONTGOMERY,42091,USA,40.08768889,-75.14950576
SOUTH HILLS SCHOOL OF BUSINESS & TECHNOLOGY,480 WAUPELANI DR,STATE COLLEGE,PA,16801,542,CENTRE,42027,USA,40.77503323,-77.85546601
FORTIS INSTITUTE-ERIE,5757 W 26TH ST,ERIE,PA,16506,496,ERIE,42049,USA,42.0604001,-80.20432805
AUGUSTANA UNIVERSITY,2001 S SUMMIT AVE,SIOUX FALLS,SD,57197,2590,MINNEHAHA,46099,USA,43.52282706,-96.73919179
BLACK HILLS BEAUTY COLLEGE,623 SAINT JOE,RAPID CITY,SD,57701,85,PENNINGTON,46103,USA,44.07996497,-103.2284286
PENTECOSTAL THEOLOGICAL SEMINARY,900 WALKER ST NE,CLEVELAND,TN,37320,575,BRADLEY,47011,USA,35.16252795,-84.8683263
FREED-HARDEMAN UNIVERSITY,158 E MAIN ST,HENDERSON,TN,38340,2314,CHESTER,47023,USA,35.44007273,-88.63941818
HIWASSEE COLLEGE,225 HIWASSEE COLLEGE DRIVE,MADISONVILLE,TN,37354,389,MONROE,47123,USA,35.55751038,-84.36466917
MARTIN METHODIST COLLEGE,433 WEST MADISON STREET,PULASKI,TN,38478,1168,GILES,47055,USA,35.20033812,-87.0363981
YESHIVA AND KOLLEL HARBOTZAS TORAH,1049 E 15TH ST,BROOKLYN,NY,11230,-999,KINGS,36047,USA,40.62389055,-73.96101748
CONTINENTAL SCHOOL OF BEAUTY CULTURE-OLEAN,517 N BARRY ST,OLEAN,NY,14760,63,CATTARAUGUS,36009,USA,42.08448667,-78.42815782
HERKIMER COUNTY BOCES-PRACTICAL NURSING PROGRAM,77 E. NORTH ST.,ILION,NY,13357,110,HERKIMER,36043,USA,43.01939418,-75.04695732
CHAMINADE UNIVERSITY OF HONOLULU,3140 WAIALAE AVENUE,HONOLULU,HI,96816,2801,HONOLULU,15003,USA,21.28995022,-157.8078514
HAWAII INSTITUTE OF HAIR DESIGN,1128 NUUANU AVENUE,HONOLULU,HI,96817,109,HONOLULU,15003,USA,21.31153892,-157.8615303
HONOLULU COMMUNITY COLLEGE,874 DILLINGHAM BLVD,HONOLULU,HI,96817,3944,HONOLULU,15003,USA,21.32175484,-157.8701972
KAPIOLANI COMMUNITY COLLEGE,4303 DIAMOND HEAD ROAD,HONOLULU,HI,96816,7687,HONOLULU,15003,USA,21.27148031,-157.800213
BELLARMINE UNIVERSITY,2001 NEWBURG RD,LOUISVILLE,KY,40205,4606,JEFFERSON,21111,USA,38.21913777,-85.7049
HENDERSON COMMUNITY COLLEGE,2660 S GREEN ST,HENDERSON,KY,42420,1668,HENDERSON,21101,USA,37.79768682,-87.65009054
AMERICAN NATIONAL UNIVERSITY-LEXINGTON,2376 SIR BARTON WAY,LEXINGTON,KY,40509,320,FAYETTE,21067,USA,38.02694121,-84.42114428
SULLIVAN UNIVERSITY,3101 BARDSTOWN RD,LOUISVILLE,KY,40205,4076,JEFFERSON,21111,USA,38.21282445,-85.6704885
COLUMBIA COLLEGE,1001 ROGERS STREET,COLUMBIA,MO,65216,14934,BOONE,29019,USA,38.95738761,-92.32635385
EAST CENTRAL COLLEGE,1964 PRAIRIE DELL RD,UNION,MO,63084,3270,FRANKLIN,29071,USA,38.43094347,-90.97856117
NORTH CAROLINA CENTRAL UNIVERSITY,1801 FAYETTEVILLE STREET,DURHAM,NC,27707,9506,DURHAM,37063,USA,35.974237,-78.89860176
THE BEAUTY SCHOOL,344 STROUD MALL ROAD SUITE 308,STROUDSBURG,PA,18360,38,MONROE,42089,USA,40.990123,-75.223864
BRYAN COLLEGE-DAYTON,721 BRYAN DRIVE,DAYTON,TN,37321,1826,RHEA,47143,USA,35.49781485,-84.99845743
CHRISTIAN BROTHERS UNIVERSITY,650 EAST PARKWAY SOUTH,MEMPHIS,TN,38104,2501,SHELBY,47157,USA,35.12743662,-89.98324072
SOUTHERN COLLEGE OF OPTOMETRY,1245 MADISON AVE,MEMPHIS,TN,38104,715,SHELBY,47157,USA,35.13825161,-90.01985587
BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY,1530 E PINE ST,JACKSONVILLE,TX,75766,183,CHEROKEE,48073,USA,31.978984,-95.255438
CHARLES AND SUES SCHOOL OF HAIR DESIGN,1711 BRIARCREST DR,BRYAN,TX,77802,39,BRAZOS,48041,USA,30.65279951,-96.34010198
JACKSONVILLE COLLEGE-MAIN CAMPUS,105 B J ALBRITTON DR,JACKSONVILLE,TX,75766,626,CHEROKEE,48073,USA,31.96607186,-95.28124907
BENNINGTON COLLEGE,ONE COLLEGE DRIVE,BENNINGTON,VT,5201,1205,BENNINGTON,50003,USA,42.91998803,-73.23903138
GODDARD COLLEGE,123 PITKIN ROAD,PLAINFIELD,VT,5667,701,WASHINGTON,50023,USA,44.27910619,-72.43821604
NEW ENGLAND CULINARY INSTITUTE,7 SCHOOL STREET,MONTPELIER,VT,5602,188,WASHINGTON,50023,USA,44.2563294,-72.56609653
SOUTHERN VERMONT COLLEGE,982 MANSION DRIVE,BENNINGTON,VT,5201,496,BENNINGTON,50003,USA,42.87086246,-73.21630344
PAUL MITCHELL THE SCHOOL-RICHLAND,71 GAGE BLVD.,RICHLAND,WA,99352,198,BENTON,53005,USA,46.2262508,-119.2460596
SOUTHSIDE REGIONAL MEDICAL CENTER PROFESSIONAL SCHOOLS,430 CLAIRMONT COURT - SUITE 200,COLONIAL HEIGHTS,VA,23834,138,COLONIAL HEIGHTS,51570,USA,37.267744,-77.400352
BEAUTY ACADEMY,208 S WENATCHEE AVE,WENATCHEE,WA,98801,45,CHELAN,53007,USA,47.42167204,-120.3094629
BIG BEND COMMUNITY COLLEGE,7662 CHANUTE ST NE,MOSES LAKE,WA,98837,2251,GRANT,53025,USA,47.18540561,-119.3274793
HERITAGE UNIVERSITY,3240 FORT RD,TOPPENISH,WA,98948,1397,YAKIMA,53077,USA,46.37479987,-120.3949716
NORTHWEST UNIVERSITY,5520 108TH AVE NE,KIRKLAND,WA,98083,1631,KING,53033,USA,47.65788172,-122.1914164
PERRY TECHNICAL INSTITUTE,2011 W WASHINGTON AVE.,YAKIMA,WA,98903,965,YAKIMA,53077,USA,46.57139302,-120.5371087
B M SPURR SCHOOL OF PRACTICAL NURSING,800 WHEELING AVE,GLEN DALE,WV,26038,39,MARSHALL,54051,USA,39.94583422,-80.75355776
CLARKSBURG BEAUTY ACADEMY AND SCHOOL OF MASSAGE THERAPY,120 S 3RD ST,CLARKSBURG,WV,26301,76,HARRISON,54033,USA,39.27987533,-80.33905403
HUNTINGTON JUNIOR COLLEGE,900 FIFTH AVE,HUNTINGTON,WV,25701,419,CABELL,54011,USA,38.41973244,-82.44323418
MORGANTOWN BEAUTY COLLEGE INC,276 WALNUT ST,MORGANTOWN,WV,26505,93,MONONGALIA,54061,USA,39.62886578,-79.95459334
INTERNATIONAL BEAUTY SCHOOL 4,201 WEST KING STREET,MARTINSBURG,WV,25401,77,BERKELEY,54003,USA,39.45635451,-77.9653456
MR WAYNE'S SCHOOL OF UNISEX HAIR DESIGN,170 S WILLOW AVE,COOKEVILLE,TN,38501,64,PUTNAM,47141,USA,36.15963201,-85.51128594
QUEEN CITY COLLEGE,1594 FORT CAMPBELL BLVD,CLARKSVILLE,TN,37042,118,MONTGOMERY,47125,USA,36.57352084,-87.40870643
REMINGTON COLLEGE-FORT WORTH CAMPUS,300 E. LOOP 820,FORT WORTH,TX,76112,623,TARRANT,48439,USA,32.77598107,-97.21356217
ASTRODOME CAREER CENTERS,2656 S LOOP W STE 380,HOUSTON,TX,77054,90,HARRIS,48201,USA,29.67944324,-95.42077204
MILLER-MOTTE TECHNICAL COLLEGE-CLARKSVILLE,1820 BUSINESS PARK DR,CLARKSVILLE,TN,37040,257,MONTGOMERY,47125,USA,36.55623722,-87.32533005
NORTH CENTRAL INSTITUTE,168 JACK MILLER BLVD,CLARKSVILLE,TN,37042,106,MONTGOMERY,47125,USA,36.61518191,-87.42520694
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER-NEW ORLEANS,433 BOLIVAR ST,NEW ORLEANS,LA,70112,4951,ORLEANS,22071,USA,29.9572722,-90.08314519
SOUTHERN UNIVERSITY AT SHREVEPORT,3050 MARTIN LUTHER KING DR,SHREVEPORT,LA,71107,3404,CADDO,22017,USA,32.54563249,-93.83455875
SAINT JOSEPH'S COLLEGE OF MAINE,278 WHITES BRIDGE RD,STANDISH,ME,4084,2889,CUMBERLAND,23005,USA,43.82544744,-70.48146175
BAY PATH UNIVERSITY,588 LONGMEADOW STREET,LONGMEADOW,MA,1106,3956,HAMPDEN,25013,USA,42.05536431,-72.58397394
GORDON COLLEGE,255 GRAPEVINE RD,WENHAM,MA,1984,2598,ESSEX,25009,USA,42.58817313,-70.81913334
GORDON-CONWELL THEOLOGICAL SEMINARY,130 ESSEX ST,SOUTH HAMILTON,MA,1982,1938,ESSEX,25009,USA,42.61347473,-70.84638717
HAMPSHIRE COLLEGE,893 WEST ST,AMHERST,MA,1002,1708,HAMPSHIRE,25015,USA,42.32308541,-72.52930079
LASELL COLLEGE,1844 COMMONWEALTH AVENUE,NEWTON,MA,2466,2576,MIDDLESEX,25017,USA,42.3428174,-71.24425469
MASSACHUSETTS MARITIME ACADEMY,101 ACADEMY DR,BUZZARDS BAY,MA,2532,2191,BARNSTABLE,25001,USA,41.74034767,-70.62416665
MERRIMACK COLLEGE,315 TURNPIKE ST,NORTH ANDOVER,MA,1845,5052,ESSEX,25009,USA,42.66835241,-71.12421626
MOUNT HOLYOKE COLLEGE,50 COLLEGE STREET,SOUTH HADLEY,MA,1075,3328,HAMPSHIRE,25015,USA,42.25758777,-72.57362511
MOUNT IDA COLLEGE,777 DEDHAM STREET,NEWTON,MA,2459,1970,MIDDLESEX,25017,USA,42.29320531,-71.19465836
REGIS COLLEGE,235 WELLESLEY ST,WESTON,MA,2493,2749,MIDDLESEX,25017,USA,42.35110502,-71.30912649
SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,1 ARMORY SQ,SPRINGFIELD,MA,1105,6114,HAMPDEN,25013,USA,42.1083928,-72.58159797
CLEARY UNIVERSITY,3750 CLEARY DRIVE,HOWELL,MI,48843,791,LIVINGSTON,26093,USA,42.587486,-83.880429
GRACE BIBLE COLLEGE,1011 ALDON SW,WYOMING,MI,49509,1099,KENT,26081,USA,42.91954105,-85.692077
HOPE COLLEGE,"100 E. 8TH STREET, SUITE 260",HOLLAND,MI,49422,4034,OTTAWA,26139,USA,42.78805162,-86.1053755
LANSING COMMUNITY COLLEGE,419 N CAPITOL AVE,LANSING,MI,48901,14972,INGHAM,26065,USA,42.73894065,-84.55170117
AUGSBURG UNIVERSITY,2211 RIVERSIDE AVE,MINNEAPOLIS,MN,55454,4276,HENNEPIN,27053,USA,44.9656361,-93.24141836
MACALESTER COLLEGE,1600 GRAND AVE,SAINT PAUL,MN,55105,2831,RAMSEY,27123,USA,44.93663243,-93.16915068
MINNEAPOLIS COLLEGE OF ART AND DESIGN,2501 STEVENS AVE,MINNEAPOLIS,MN,55404,1040,HENNEPIN,27053,USA,44.95698771,-93.27469385
NORTH CENTRAL UNIVERSITY,910 ELLIOT AVE,MINNEAPOLIS,MN,55404,1300,HENNEPIN,27053,USA,44.96938875,-93.26142912
ST OLAF COLLEGE,1520 ST OLAF AVE,NORTHFIELD,MN,55057,3866,RICE,27131,USA,44.46195598,-93.18331841
DUNWOODY COLLEGE OF TECHNOLOGY,818 DUNWOODY BLVD,MINNEAPOLIS,MN,55403,1558,HENNEPIN,27053,USA,44.97308137,-93.2900687
PEARL RIVER COMMUNITY COLLEGE,101 HWY 11 N,POPLARVILLE,MS,39470,5347,PEARL RIVER,28109,USA,30.84549566,-89.54419121
BAPTIST BIBLE COLLEGE,628 E KEARNEY,SPRINGFIELD,MO,65803,369,GREENE,29077,USA,37.24021822,-93.28343008
DRURY UNIVERSITY,900 N. BENTON AVE,SPRINGFIELD,MO,65802,4169,GREENE,29077,USA,37.21968077,-93.28619179
ROCKY MOUNTAIN COLLEGE,1511 POLY DRIVE,BILLINGS,MT,59102,1256,YELLOWSTONE,30111,USA,45.79652193,-108.5540753
CLARKSON COLLEGE,101 S 42ND ST,OMAHA,NE,68131,1426,DOUGLAS,31055,USA,41.25916492,-95.97484423
CALDWELL UNIVERSITY,120 BLOOMFIELD AVENUE,CALDWELL,NJ,7006,2676,ESSEX,34013,USA,40.83407145,-74.27226745
MONTCLAIR STATE UNIVERSITY,1 NORMAL AVENUE,MONTCLAIR,NJ,7043,24467,ESSEX,34013,USA,40.85914712,-74.19855031
BELMONT ABBEY COLLEGE,100 BELMONT-MT HOLLY ROAD,BELMONT,NC,28012,1839,GASTON,37071,USA,35.26127571,-81.04184689
CLEVELAND COMMUNITY COLLEGE,137 S POST RD,SHELBY,NC,28152,3185,CLEVELAND,37045,USA,35.27983338,-81.49285552
GASTON COLLEGE,201 HWY 321 S,DALLAS,NC,28034,5929,GASTON,37071,USA,35.31201533,-81.18948134
HIGH POINT UNIVERSITY,ONE UNIVERSITY PARKWAY,HIGH POINT,NC,27268,5967,GUILFORD,37081,USA,35.97300224,-79.99443079
JOHNSON C SMITH UNIVERSITY,100 BEATTIES FORD ROAD,CHARLOTTE,NC,28216,1867,MECKLENBURG,37119,USA,35.24303259,-80.8572512
WINSTON-SALEM STATE UNIVERSITY,601 MARTIN LUTHER KING JR DR,WINSTON-SALEM,NC,27110,6108,FORSYTH,37067,USA,36.08707917,-80.22481934
MASSACHUSETTS SCHOOL OF LAW,500 FEDERAL ST WOODLAND PARK,ANDOVER,MA,1810,398,ESSEX,25009,USA,42.68209748,-71.19954302
KING'S COLLEGE,322 LAMAR AVENUE,CHARLOTTE,NC,28204,395,MECKLENBURG,37119,USA,35.21339901,-80.82228287
MOORE CAREER COLLEGE,14141 AIRLINE HWY BLDG 1 STE X,BATON ROUGE,LA,70817,121,EAST BATON ROUGE,22033,USA,30.367301,-91.024786
LAKE-SUMTER STATE COLLEGE,9501 US HWY 441,LEESBURG,FL,34788,5286,LAKE,12069,USA,28.83023652,-81.79773085
STATE COLLEGE OF FLORIDA-MANATEE-SARASOTA,5840 26TH ST W,BRADENTON,FL,34207,11713,MANATEE,12081,USA,27.4380403,-82.59088663
LOUISIANA STATE UNIVERSITY-SHREVEPORT,ONE UNIVERSITY PLACE,SHREVEPORT,LA,71115,6337,CADDO,22017,USA,32.4287676,-93.70376166
MONTGOMERY COLLEGE,51 MANNAKEE STREET,ROCKVILLE,MD,20850,26029,MONTGOMERY,24031,USA,39.09854244,-77.15942386
CORNERSTONE UNIVERSITY,1001 E BELTLINE AVE NE,GRAND RAPIDS,MI,49525,2766,KENT,26081,USA,42.97996639,-85.59532848
MADONNA UNIVERSITY,36600 SCHOOLCRAFT RD,LIVONIA,MI,48150,3746,WAYNE,26163,USA,42.38707214,-83.40745829
LINDENWOOD UNIVERSITY,209 S KINGSHIGHWAY,SAINT CHARLES,MO,63301,12059,ST. CHARLES,29183,USA,38.78667934,-90.50171756
SAINT PAUL SCHOOL OF THEOLOGY,13720 ROE AVENUE,LEAWOOD,KS,66224,181,JOHNSON,20091,USA,38.880458,-94.641277
DREW UNIVERSITY,36 MADISON AVE,MADISON,NJ,7940,2714,MORRIS,34027,USA,40.76066141,-74.427957
ROWAN UNIVERSITY,201 MULLICA HILL ROAD,GLASSBORO,NJ,8028,22347,GLOUCESTER,34015,USA,39.7106244,-75.118507
MONMOUTH UNIVERSITY,400 CEDAR AVE,WEST LONG BRANCH,NJ,7764,7760,MONMOUTH,34025,USA,40.28006628,-74.0064465
RIDER UNIVERSITY,2083 LAWRENCE ROAD,LAWRENCEVILLE,NJ,8648,6290,MERCER,34021,USA,40.28049488,-74.73697804
COLLEGE OF SAINT ELIZABETH,2 CONVENT RD,MORRISTOWN,NJ,7960,1439,MORRIS,34027,USA,40.78090475,-74.43751499
THE COLLEGE OF NEW JERSEY,2000 PENNINGTON ROAD,EWING,NJ,8628,9229,MERCER,34021,USA,40.26874153,-74.7774115
FIVE TOWNS COLLEGE,305 NORTH SERVICE ROAD,DIX HILLS,NY,11746,900,SUFFOLK,36103,USA,40.79450609,-73.36934764
HARTWICK COLLEGE,ONE HARTWICK DRIVE,ONEONTA,NY,13820,1578,OTSEGO,36077,USA,42.45917772,-75.07168376
IONA COLLEGE,715 NORTH AVE,NEW ROCHELLE,NY,10801,4604,WESTCHESTER,36119,USA,40.92667848,-73.78649161
MANHATTANVILLE COLLEGE,2900 PURCHASE ST,PURCHASE,NY,10577,3348,WESTCHESTER,36119,USA,41.03218288,-73.71563623
MONROE COMMUNITY COLLEGE,1000 E HENRIETTA RD,ROCHESTER,NY,14623,14519,MONROE,36055,USA,43.10105095,-77.61012958
MOUNT SAINT MARY COLLEGE,330 POWELL AVENUE,NEWBURGH,NY,12550,2934,ORANGE,36071,USA,41.51046953,-74.01212504
NASSAU COMMUNITY COLLEGE,ONE EDUCATION DR,GARDEN CITY,NY,11530,21477,NASSAU,36059,USA,40.73047464,-73.59073545
NIAGARA COUNTY COMMUNITY COLLEGE,3111 SAUNDERS SETTLEMENT RD,SANBORN,NY,14132,6056,NIAGARA,36063,USA,43.14702487,-78.8770085
ORANGE COUNTY COMMUNITY COLLEGE,115 SOUTH ST,MIDDLETOWN,NY,10940,7820,ORANGE,36071,USA,41.43947609,-74.42688476
RENSSELAER POLYTECHNIC INSTITUTE,110 8TH ST,TROY,NY,12180,9499,RENSSELAER,36083,USA,42.72898349,-73.6787675
ST. THOMAS AQUINAS COLLEGE,125 RTE 340,SPARKILL,NY,10976,2250,ROCKLAND,36087,USA,41.04219163,-73.93684152
SUNY COLLEGE AT BROCKPORT,350 NEW CAMPUS DR,BROCKPORT,NY,14420,9640,MONROE,36055,USA,43.21185142,-77.95150829
SUNY AT PURCHASE COLLEGE,735 ANDERSON HILL RD,PURCHASE,NY,10577,5253,WESTCHESTER,36119,USA,41.04922447,-73.70193589
ST CHARLES COMMUNITY COLLEGE,4601 MID RIVERS MALL DR,COTTLEVILLE,MO,63376,7420,ST. CHARLES,29183,USA,38.76133896,-90.64155514
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-WORLDWIDE,600 S. CLYDE MORRIS BLVD.,DAYTONA BEACH,FL,32114,15704,VOLUSIA,12127,USA,29.18926994,-81.04951035
YESHIVA SHAAREI TORAH OF ROCKLAND,91 W CARLTON RD,SUFFERN,NY,10901,114,ROCKLAND,36087,USA,41.12361717,-74.09015265
UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,3501 UNIVERSITY BLVD EAST,ADELPHI,MD,20783,64342,PRINCE GEORGE'S,24033,USA,38.91270875,-76.84758204
LIU HUDSON AT ROCKLAND,70 ROUTE 340,ORANGEBURG,NY,10962,-999,ROCKLAND,36087,USA,41.036648,-73.931178
NEW MEXICO STATE UNIVERSITY-DONA ANA,2800 N. SONOMA RANCH BLVD.,LAS CRUCES,NM,88011,8634,DOÑA ANA,35013,USA,32.353799,-106.737687
SANTA FE COMMUNITY COLLEGE,6401 RICHARDS AVE,SANTA FE,NM,87508,5281,SANTA FE,35049,USA,35.605213,-105.998518
BRYANT & STRATTON COLLEGE-AMHERST,3650 MILLERSPORT HIGHWAY,GETZVILLE,NY,14068,356,ERIE,36029,USA,43.04083,-78.742815
CUNY SCHOOL OF LAW,2 COURT SQUARE,LONG ISLAND CITY,NY,11101,689,QUEENS,36081,USA,40.74784089,-73.94375954
SOUTHERN WESTCHESTER BOCES-PRACTICAL NURSING PROGRAM,450 MAMARONECK AVENUE,HARRISON,NY,10528,148,WESTCHESTER,36119,USA,40.973742,-73.741714
ROCKLAND COMMUNITY COLLEGE,145 COLLEGE RD,SUFFERN,NY,10901,7885,ROCKLAND,36087,USA,41.13384892,-74.08662711
OHIO VALLEY COLLEGE OF TECHNOLOGY,15258 STATE ROUTE 170,EAST LIVERPOOL,OH,43920,196,COLUMBIANA,39029,USA,40.679586,-80.572194
CENTRAL OKLAHOMA COLLEGE,14820 SERENITA AVENUE,OKLAHOMA CITY,OK,73134,302,OKLAHOMA,40109,USA,35.62147434,-97.56028492
NORTHWEST COLLEGE-BEAVERTON,4200 SW WATSON AVE,BEAVERTON,OR,97005,82,WASHINGTON,41067,USA,45.489303,-122.805708
PHAGANS CENTRAL OREGON BEAUTY COLLEGE,1310 CUSHING DRIVE,BEND,OR,97701,116,DESCHUTES,41017,USA,44.06361555,-121.264095
PHAGANS SCHOOL OF HAIR DESIGN,12000 SE 82ND AVENUE SUITE 4010,HAPPY VALLEY,OR,97086,152,CLACKAMAS,41005,USA,45.434723,-122.575103
CAREER TRAINING ACADEMY-LOWER BURRELL,179 HILLCREST SHOPPING CENTER,LOWER BURRELL,PA,15068,160,WESTMORELAND,42129,USA,40.58333746,-79.70875843
EMPIRE BEAUTY SCHOOL-POTTSVILLE,396 POTTSVILLE - ST. CLAIR HIGHWAY,POTTSVILLE,PA,17901,57,SCHUYLKILL,42107,USA,40.706823,-76.186441
NEW ENGLAND INSTITUTE OF TECHNOLOGY,ONE NEW ENGLAND TECH BOULEVARD,EAST GREENWICH,RI,2818,3452,KENT,44003,USA,41.661675,-71.50298
CHATTANOOGA COLLEGE MEDICAL DENTAL AND TECHNICAL CAREERS,248 NORTHGATE MALL DRIVE,CHATTANOOGA,TN,37415,310,HAMILTON,47065,USA,35.00837686,-85.21522925
TEXAS A & M UNIVERSITY-SYSTEM OFFICE,301 TARROW,COLLEGE STATION,TX,77840,276,BRAZOS,48041,USA,30.636846,-96.327705
O'BRIENS AVEDA INSTITUTE,400 CORNERSTONE DR 220,WILLISTON,VT,5495,57,CHITTENDEN,50007,USA,44.447158,-73.102718
VERMONT STATE COLLEGES-OFFICE OF THE CHANCELLOR,"575 STONE CUTTERS WAY, SUITE 1",MONTPELIER,VT,5602,34,WASHINGTON,50023,USA,44.25427142,-72.57273091
SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,3405 CANDLERS MOUNTAIN RD. #G360,LYNCHBURG,VA,24502,78,LYNCHBURG,51680,USA,37.36439832,-79.17966942
TONI & GUY HAIRDRESSING ACADEMY-SHORELINE,18336 AURORA AVE. NORTH SUITE 103,SHORELINE,WA,98133,94,KING,53033,USA,47.76208235,-122.3444117
RALPH R WILLIS CAREER AND TECHNICAL CENTER,"144 VOCATIONAL ROAD, THREE MILE CURVE",STOLLINGS,WV,25646,43,LOGAN,54045,USA,37.826897,-81.942854
WOOD COUNTY SCHOOL OF PRACTICAL NURSING,300 CAMPUS DRIVE,PARKERSBURG,WV,26104,32,WOOD,54107,USA,39.21677077,-81.50548129
DIESEL DRIVING ACADEMY-SHREVEPORT,3523 GREENWOOD ROAD,SHREVEPORT,LA,71109,175,CADDO,22017,USA,32.47617,-93.794908
INTERCOAST COLLEGES-ANAHEIM,388 W. CERRITOS AVE. BLDG 7,ANAHEIM,CA,92805,326,ORANGE,6059,USA,33.809898,-117.908748
ROSS COLLEGE-QUAD CITIES,2119 KIMBERLY RD.,BETTENDORF,IA,52722,102,SCOTT,19163,USA,41.55603262,-90.5451161
